Key	Type	Desc	English	Polish	German
ConditionEffect/HarvestChance	Text		{0}% larger harvests	{0}% większych zbiorów	{0} % größere Ernten
ConditionEffect/HealOverTime	Text		{0} health every sec	{0} zdrowia co sekundę	{0} Gesundheit jede Sekunde
ConditionEffect/Health	Text		{0} health	{0} zdrowia	{0} Gesundheit
ConditionEffect/Hunger	Text		{0} food	{0} jedzenia	{0} Essen
ConditionEffect/ImmuneToSlimeSlow	Text		Immune to being slowed by slime	Odporność na spowolnienie przez szlam	Immun gegen Verlangsamung durch Schleim
ConditionEffect/LifeOnHit	Text		{0} life on melee hit	{0} życia przy trafieniu wręcz	{0} Leben bei Nahkampftreffer
ConditionEffect/MagicBarrier	Text	 [new]	{0} magic barrier	{0} magicznej bariery	{0} magische Barriere
ConditionEffect/ManaRegen	Text	 [new]	{0} mana every sec	{0} many co sekundę	{0} Mana pro Sekunde
ConditionEffect/MaxHealth	Text		{0} max health	{0} maks. zdrowia	{0} max. Gesundheit
ConditionEffect/MaxMana	Text	 [new]	{0} max mana	{0} maks. many	{0} max. Mana
ConditionEffect/MaxMinions	Text	 [new]	{0} max minion count	{0} maks. liczby sługusów	{0} max. Unterling-Menge
ConditionEffect/MeleeAttackSpeed	Text		{0}% melee speed	{0}% szybkości w walce wręcz	{0} % Nahkampfgeschwindigkeit
ConditionEffect/MeleeDamage	Text		{0}% melee damage	{0}% obrażeń w walce wręcz	{0} % Nahkampfschaden
ConditionEffect/Mining	Text		{0} mining damage	{0} obrażeń górniczych	{0} Bergbauschaden
ConditionEffect/MiningSpeed	Text		{0}% mining speed	{0}% prędkości wydobycia	{0} % Bergbaugeschwindigkeit
ConditionEffect/MinionAttackSpeed	Text	 [new]	{0}% minion attack speed	{0}% szybkości ataku sługusów	{0} % der Angriffsgeschwindigkeit des Unterlings
ConditionEffect/MinionCritChance	Text	 [new]	{0}% minion critical hit chance	{0}% szans na trafienie krytyczne sługusa	{0} % der kritischen Trefferchance des Unterlings
ConditionEffect/MinionDamage	Text	 [new]	{0} minion damage	{0} obrażeń sługusów	{0} Unterlingschaden
ConditionEffect/MinionDamagePercentage	Text	 [new]	{0}% minion damage	{0}% obrażeń sługusów	{0} % Unterlingschaden
ConditionEffect/MinionLifespan	Text	 [new]	{0}% minion lifespan	{0}% żywotności sługusów	{0} % Lebensspanne der Unterlinge
ConditionEffect/MovementSpeed	Text		{0}% movement speed	{0}% prędkości ruchu	{0} % Bewegungsgeschwindigkeit
ConditionEffect/PhysicalMeleeDamage	Text	 [new]	{0}% physical melee damage	{0}% fizycznych obrażeń wręcz	{0} % des physischen Nahkampfschadens
ConditionEffect/PhysicalRangeDamage	Text	 [new]	{0}% physical range damage	{0}% fizycznych obrażeń zasięgowych	{0} % des physischen Fernkampfschadens
ConditionEffect/Poisoned	Text		75% reduced healing received	75% mniej otrzymywanego leczenia	75 % verringerte Heilung erhalten
ConditionEffect/RangeAttackSpeed	Text		{0}% range speed	{0}% prędkości w walce zasięgowej	{0} % Fernkampfgeschwindigkeit
ConditionEffect/RangeDamage	Text		{0}% range damage	{0}% obrażeń w walce zasięgowej	{0} % Fernkampfschaden
ConditionEffect/ReducedDamageFromBosses	Text		{0}% boss damage reduction	{0}% redukcji obrażeń zadawanych przez bossa	{0} % Boss-Schadensverringerung
ConditionEffect/ThornsDamage	Text		{0} thorns damage	{0} obrażeń od cierni	{0} Dornenschaden
ConditionEffectDesc/ApplyBurning	Text		Applies burning to enemies you deal damage to. The burning effect damages the enemy every other second for {0} damage.	Powoduje podpalenie wrogów, którym zadajesz obrażenia. Efekt podpalenia zadaje przeciwnikowi {0} obrażeń co sekundę.	Verbrennt Feinde, denen du Schaden zufügst. Der Brandeffekt fügt dem Feind alle zwei Sekunden {0} Schaden zu.
ConditionEffectDesc/Armor	Text		Reduces damage taken up to a maximum of {0} damage. Enemies always deal a minimum 25% of their damage.	Zmniejsza otrzymywane obrażenia maksymalnie do {0}. Wrogowie zawsze zadają co najmniej 25% obrażeń.	Verringert erlittenen Schaden bis zu einem Max. von {0} Schaden. Feinde verursachen immer mindestens 25 % ihres Schadens.
ConditionEffectDesc/ChanceOnHitToKnockback	Text		Melee attacks have a {0}% chance to knockback enemies.	Ataki wręcz mają {0}% szans na odrzucenie wrogów.	Bei Nahkampfangriffen besteht eine Chance von {0} %, Feinde zurückzuschlagen.
ConditionEffectDesc/ChanceToGainExtraCookedFood	Text		Grabbing cooked food from the cooking pot has a {0}% chance to gain an additional cooked food per cooked food grabbed.	Za każde chwycenie ugotowanego jedzenia z garnka otrzymuje się {0}% szansy na zdobycie dodatkowego ugotowanego jedzenia.	Gekochtes Essen aus dem Kochtopf nehmen hat eine Chance von {0} %, ein zusätzliches gekochtes Essen pro geschnapptem gekochten Essen zu erhalten.
ConditionEffectDesc/CritChance	Text		Attacks have a {0}% chance to deal 50% extra damage.	Ataki mają {0}% szans na zadanie dodatkowych 50% obrażeń.	Bei Angriffen besteht eine Chance von {0} %, 50 % zusätzlichen Schaden zu verursachen.
ConditionEffectDesc/CriticalDamagePercentage	Text		Deal {0}% more damage on critical hits. Base critical hit damage is 50%.	Zadaje {0}% więcej obrażeń przy trafieniach krytycznych. Podstawowe obrażenia od trafień krytycznych wynoszą 50%.	Verursache {0} % mehr Schaden bei kritischen Treffern. Der normale kritische Trefferschaden beträgt 50 %.
ConditionEffectDesc/DodgeChance	Text		{0}% chance to dodge any attack. Maximum dodge chance is 90%.	{0}% szans na uniknięcie dowolnego ataku. Maksymalna szansa na unik wynosi 90%.	Chance von {0} %, einem Angriff auszuweichen. Max. Ausweichen-Chance ist 90 %.
ConditionEffectDesc/ExplosivesDamage	Text		Explosives deal {0}% more damage.	Materiały wybuchowe zadają {0}% więcej obrażeń.	Sprengstoffe verursachen {0} % mehr Schaden.
ConditionEffectDesc/Fishing	Text		A higher fishing allows catching fish in higher level areas while also reducing the time for fish to bite in lower level areas. 	Wyższe wędkarstwo pozwala łowić ryby w trudniejszych obszarach, jednocześnie skracając czas połowu ryb w obszarach o niższym poziomie.	Höheres Angeln ermöglicht das Fangen von Fischen in höher gelegenen Gebieten und erleichtert gleichzeitig das Fangen von Fischen.
ConditionEffectDesc/Glowing	Text		Produces a glow reaching up to {0} tiles away.	Tworzy poświatę o zasięgu do {0} pól.	Erzeugt ein Leuchten, das bis zu {0} Fliesen weit reicht.
ConditionEffectDesc/HarvestChance	Text		When harvesting, you gain on average {0}% extra plants.	Podczas zbiorów zyskujesz średnio {0}% dodatkowych roślin.	Bei der Ernte wirst du im Durchschnitt {0} % mehr Pflanzen ernten.
ConditionEffectDesc/HealOverTime	Text		Gains {0} health every second.	Zyskujesz {0} zdrowia co sekundę.	Erhält {0} Gesundheit pro Sekunde.
ConditionEffectDesc/LifeOnHit	Text		Gains {0} health when hitting an enemy with a melee attack.	Zyskujesz {0} zdrowia po trafieniu wroga atakiem wręcz.	Erhält {0} Gesundheit, wenn ein Feind mit einem Nahkampfangriff getroffen wird.
ConditionEffectDesc/MagicBarrier	Text	 [new]	Absorbs up to {0} damage taken. The magic barrier regenerates itself after not taking damage for a while.	Pochłania do {0} otrzymanych obrażeń. Magiczna bariera regeneruje się po pewnym czasie bez otrzymywania obrażeń.	Absorbiert bist zu {0} des erlittenen Schadens. Die magische Barriere regeneriert sich, wenn sie für eine Weile keinen Schaden erleidet.
ConditionEffectDesc/ManaRegen	Text	 [new]	Gains {0} mana every second. Base mana regeneration is 10.0 mana every second.	Zyskuje {0} many co sekundę. Podstawowa regeneracja many wynosi 10,0 pkt. many co sekundę.	Gewinnt {0} mana pro Sekunde. Basis-Manaregenerierung beträgt 10.0 Mana pro Sekunde.
ConditionEffectDesc/MaxHealth	Text		Maximum amount of health is {0}.	Maksymalna ilość zdrowia wynosi {0}.	Max. Gesundheitsmenge ist {0}.
ConditionEffectDesc/MaxMana	Text	 [new]	Maximum amount of mana is {0}.	Maksymalna ilość many wynosi {0}.	Die maximale Menge an Mana beträgt {0}.
ConditionEffectDesc/MaxMinions	Text	 [new]	You can have up to {0} summoned minions.	Możesz mieć do {0} przyzwanych sługusów.	Du kannst zeitgleich bis zu {0} Unterlinge beschwören.
ConditionEffectDesc/MeleeAttackSpeed	Text		You hit {0}% faster with melee weapons.	Trafiasz {0}% szybciej bronią do walki wręcz.	Du triffst {0} % schneller mit Nahkampfwaffen.
ConditionEffectDesc/MeleeDamage	Text		Melee attacks deal {0}. 	Ataki wręcz zadają {0}	Nahkampfangriffe verursachen {0}-{1} Schaden.
ConditionEffectDesc/MeleeDamageFormat	Text	 [new]	Melee attacks deal {0}.	Ataki wręcz zadają {0}.	Nahkampfangriffe verursachen {0}.
ConditionEffectDesc/Mining	Text		Deals {0} damage to walls and objects that require mining to be destroyed.	Zadaje {0} obrażeń ścianom i obiektom, których zniszczenie wymaga kopania.	Verursacht {0} Schaden an Wänden und Objekten, bei denen für die Zerstörung ein Bergbau erforderlich ist.
ConditionEffectDesc/MiningSpeed	Text		You hit {0}% faster with pickaxes.	Uderzasz {0}% szybciej kilofami.	Du triffst {0} % schneller mit Spitzhacken.
ConditionEffectDesc/MinionAttackSpeed	Text	 [new]	Minions attack {0}% faster.	Sługusy atakują o {0}% szybciej.	Unterlinge greifen {0} % schneller an.
ConditionEffectDesc/MinionCritChance	Text	 [new]	Minion attacks have a {0}% chance to deal 50% extra damage.	Ataki sługusów mają {0}% szans na zadanie dodatkowych 50% obrażeń.	Bei Angriffen von Unterlingen besteht eine Chance von {0} %, 50 % zusätzlichen Schaden zu verursachen.
ConditionEffectDesc/MinionDamagePercentage	Text	 [new]	Minions deal {0}% more damage.	Sługusy zadają {0}% więcej obrażeń.	Unterlinge verursachen {0} % mehr Schaden.
ConditionEffectDesc/MinionLifespan	Text	 [new]	Minions last for {0}% longer before despawning.	Sługusy trwają o {0}% dłużej przed zniknięciem.	Unterlinge leben {0} % länger, bevor sie verschwinden.
ConditionEffectDesc/MovementSpeed	Text		Moves at {0}% of base movement speed.	Poruszasz się z prędkością {0}% bazowej prędkości ruchu.	Bewegt sich mit {0} % der normalen Bewegungsgeschwindigkeit.
ConditionEffectDesc/RangeAttackSpeed	Text		You shoot {0}% faster with range weapons.	Strzelasz {0}% szybciej z broni dystansowych.	Du schießt {0} % schneller mit Fernkampfwaffen.
ConditionEffectDesc/RangeDamage	Text		Ranged attacks deal {0}. 	Ataki dystansowe zadają {0}	Fernkampfangriffe verursachen {0}-{1} Schaden.
ConditionEffectDesc/RangeDamageFormat	Text	 [new]	Range attacks deal {0}.	Ataki dystansowe zadają {0}	Fernkampfangriffe verursachen {0}.
ConditionEffectDesc/ReducedDamageFromBosses	Text		Reduces damage taken from bosses by {0}%.	Zmniejsza obrażenia otrzymywane od bossów o {0}%.	Verringert den von Bossen erlittenen Schaden um {0} %.
ConditionEffectDesc/ThornsDamage	Text		Melee attackers take {0} damage when attacking.	Atakujący w zwarciu otrzymują {0} obrażeń podczas ataku.	Nahkampfangreifer erleiden {0} Schaden, wenn sie angreifen.
Conditions/AcidDamage	Text		{0} acid damage every sec, ignores armor	{0} obrażeń od kwasu co sekundę, ignoruje pancerz	{0} Säureschaden pro Sekunde, ignoriert Rüstung
Conditions/AdditionalChanceOnCritToSpawnThunderBeam	Text		{0}% additional chance to trigger Azeos' soul power	{0}% dodatkowej szansy na uruchomienie mocy duszy Azeosa	{0} % höhere Chance, Azeos' Seelenkraft auszulösen
Conditions/AdditionalChanceOnHitToSpawnScarabBossProjectile	Text		{0}% additional chance to trigger Ra-Akar's soul power	{0}% dodatkowej szansy na uruchomienie mocy duszy Ra-Akara	{0} % höhere Chance, Ra-Akars Seelenkraft auszulösen
Conditions/AdditionalChanceOnRangeHitToSpawnOctopusBossProjectile	Text		{0}% additional chance to trigger Omoroth's soul power	{0}% dodatkowej szansy na uruchomienie mocy duszy Omorotha	{0} % höhere Chance, Omoroths Seelenkraft auszulösen
Conditions/AllDamageIncrease	Text		{0}% damage	{0}% obrażeń	{0} % Schaden
Conditions/ApplyBurning	Text		{0} burn damage applied on hit	{0} obrażeń od ognia przy trafieniu	{0} Brandschaden bei Treffer
Conditions/ApplyPetAttackSpeedIncrease	Text		{0}% attack speed for your pet	{0}% prędkości ataku dla twojego zwierzaka	{0} % Angriffsgeschwindigkeit für dein Haustier
Conditions/ApplyPetBuffsIncrease	Text		{0}% effectiveness of your pets talent effects	{0}% skuteczności efektów talentów twoich zwierzaków	{0} % Wirksamkeit der Talenteffekte deiner Haustiere
Conditions/ApplyPetCritChanceIncrease	Text		{0}% critical hit chance for your pet	{0}% szansy na trafienie krytyczne dla twojego zwierzaka	{0} % kritische Trefferchance für dein Haustier
Conditions/ApplyPetCritDamageIncrease	Text		{0}% critical hit damage for your pet	{0}% obrażeń od trafień krytycznych dla twojego zwierzaka	{0} % kritischer Trefferschaden für dein Haustier
Conditions/ApplyPetDamageIncrease	Text		{0}% damage dealt by your pet	{0}% obrażeń zadawanych przez twojego zwierzaka	{0} % Schaden von deinem Haustier verursacht
Conditions/ApplySlipperyMovementWhenHit	Text		Melee attackers become slippery when attacking you	Atakujący w zwarciu stają się śliscy podczas atakowania ciebie.	Nahkampfangreifer bekommen rutschige Bewegungen, wenn sie dich angreifen
Conditions/ApplySlowedBySlime	Text		Reduces the target's movement speed by {0}% for 4 sec	Zmniejsza prędkość ruchu celu o {0}% na 4 sek.	Verringert die Bewegungsgeschwindigkeit des Ziels 4 Sek. lang um {0} %
Conditions/ApplySnare	Text		Ensnare	Choroba	Verstricken
Conditions/ArmorIncrease	Text	"Text shown on gear stat or buff, for example ""+45 armor"" where {0} is replaced with the number"	{0} armor	{0} pancerza	{0} Rüstung
Conditions/ArmorIncreaseFromMovementSpeed	Text		{0}% armor of current movement speed increase	{0}% pancerza do aktualnej prędkości ruchu	{0} % Rüstung der aktuellen Bewegungsgeschwindigkeit steigt
Conditions/ArmorPercentageIncrease	Text		{0}% armor	{0}% pancerza	{0} % Rüstung
Conditions/AttackSpeed	Text		{0}% melee and range attack speed	{0}% szybkości ataku wręcz i dystansowego	{0} % Nahkampf- und Fernkampf-Angriffsgeschwindigkeit
Conditions/AuraApplyBurning	Text		All nearby enemies burn for {0} damage every other sec	Wszyscy pobliscy wrogowie płoną, dostając {0} obrażeń co sekundę	Alle Feinde in der Nähe brennen und erleiden {0} Schaden alle zwei Sekunden
Conditions/AuraApplyDamageDecrease	Text		{0}% damage dealt by all nearby enemies	{0}% obrażeń zadawanych przez wszystkich pobliskich wrogów	{0} % verursachter Schaden von allen Feinden in der Nähe
Conditions/AuraApplyDamageIncrease	Text		{0}% damage dealt by you and all nearby allies	{0}% obrażeń zadawanych przez ciebie i wszystkich pobliskich sojuszników	{0} % verursachter Schaden von dir und allen Verbündeten in der Nähe
Conditions/AuraApplyHealingOverTime	Text		{0} health every sec to you and all nearby allies	{0} zdrowia co sekundę dla ciebie i wszystkich pobliskich sojuszników	{0} Gesundheit pro Sekunde für dich und alle Verbündeten in der Nähe
Conditions/AuraApplyMovementSpeedDecrease	Text		Any nearby enemies movement speed is reduced by {0}%	Prędkość ruchu pobliskich wrogów zostaje zmniejszona o {0}%.	Verringert die Bewegungsgeschwindigkeit aller Feinde in der Nähe um {0} %
Conditions/AuraApplyRadioactiveDamageOverTime	Text		All nearby enemies take {0} radioactive damage every other sec	Wszyscy pobliscy wrogowie otrzymują {0} obrażeń radioaktywnych co sekundę	Alle Feinde in der Nähe erleiden {0} Strahlungsschaden alle zwei Sekunden
Conditions/AuraMovementSpeedDecrease	Text		{0}% movement speed from a nearby aura	{0}% prędkości ruchu od pobliskiej aury	{0} % Bewegungsgeschwindigkeit durch eine Aura in der Nähe
Conditions/AuraRadioactiveDamageOverTime	Text		{0} radioactive damage every other sec	{0} obrażeń radioaktywnych co sekundę	{0} Strahlungsschaden alle zwei Sekunden
Conditions/AuraVoidDamagePercentageOverTime	Text	 [new]	{0}% of health as void damage every  sec	{0}% zdrowia jako obrażenia od próżni co sekundę	{0} % der Gesundheit als Nichts-Schaden pro Sekunde
Conditions/BlueGlow	Text	"Description for items that make player glow when eating it. For example ""+5 glow"" where +5 refers to the intensity/range of the light"	{0} blue glow	{0} niebieskiej poświaty	{0} blaues Leuchten
Conditions/Burning	Text		{0} burn damage every other sec	{0} obrażeń od ognia co sekundę	{0} Brandschaden alle zwei Sekunden
Conditions/ChanceForAdditionalOre	Text		{0}% chance to gain an additional ore from walls containing ores	{0}% szans na zdobycie dodatkowej rudy ze ścian zawierających rudy	{0} % Chance auf den Erhalt eines zusätzlichen Erzes aus erzhaltigen Wänden
Conditions/ChanceForExtraCookedFoodToBeRare	Text		{0}% chance for additional food gained from cooking to be rare	{0}% szans na to, że dodatkowe jedzenie zdobyte podczas gotowania będzie rzadkie	{0} % Chance, dass zusätzliches durch Kochen erhaltenes Essen selten ist
Conditions/ChanceForOreOnMiningWall	Text		{0}% chance to gain an ore that is common in the currently mined wall when destroying the wall	{0}% szans na zdobycie rudy występujących w aktualnie wydobywanej ścianie podczas niszczenia ściany.	{0} % Chance, Erz zu erhalten, das in der aktuell abgebauten Wand vorkommt, wenn die Wand zerstört wird
Conditions/ChanceForPolishedJewelry	Text		{0}% chance to gain a polished version of any item crafted at the jewelry workbench	{0}% szans na zdobycie wypolerowanej wersji dowolnego przedmiotu wykonanego w warsztacie jubilerskim.	{0} % Chance auf den Erhalt einer polierten Version eines Gegenstands, der an der Schmuck-Werkbank hergestellt wurde
Conditions/ChanceForRandomLootFromWall	Text		{0}% chance to drop a valuable item from any mined wall	{0}% szans na upuszczenie cennego przedmiotu z każdej wydobytej ściany.	{0} % Chance, dass ein wertvoller Gegenstand von jeder verminten Wand fällt
